x_axis,y_axis,z_axis
-105.0,-82.0,-39.0
-107.0,-77.0,-41.0
-108.0,-72.0,-42.0
-109.0,-67.0,-44.0
-110.0,-62.0,-45.0
-111.0,-57.0,-47.0
-112.0,-52.0,-49.0
-113.0,-48.0,-50.0
-114.0,-44.0,-52.0
-114.0,-40.0,-53.0
-115.0,-36.0,-54.0
-116.0,-33.0,-56.0
-116.0,-30.0,-57.0
-117.0,-27.0,-58.0
-118.0,-24.0,-60.0
-119.0,-21.0,-62.0
-118.0,-18.0,-113.0
-116.0,-17.0,-154.0
-113.0,-15.0,-253.0
-108.0,-12.0,-383.0
-105.0,-7.0,-449.0
-103.0,-4.0,-514.0
-103.0,-1.0,-553.0
-100.0,0.0,-614.0
-97.0,1.0,-676.0
-95.0,3.0,-724.0
-94.0,0.0,-759.0
-92.0,1.0,-805.0
-92.0,4.0,-833.0
-91.0,5.0,-843.0
-91.0,6.0,-854.0
-91.0,6.0,-873.0
-89.0,7.0,-920.0
-89.0,9.0,-937.0
-89.0,9.0,-947.0
-87.0,10.0,-983.0
-86.0,10.0,-997.0
-85.0,12.0,-1020.0
-83.0,13.0,-1034.0
-85.0,15.0,-993.0
-87.0,17.0,-957.0
-89.0,18.0,-918.0
-91.0,19.0,-882.0
-92.0,20.0,-847.0
-94.0,21.0,-813.0
-97.0,23.0,-781.0
-100.0,26.0,-735.0
-102.0,27.0,-691.0
-105.0,29.0,-637.0
-108.0,30.0,-584.0
-110.0,29.0,-518.0
-114.0,31.0,-456.0
-116.0,34.0,-415.0
-118.0,36.0,-372.0
-120.0,38.0,-329.0
-122.0,38.0,-290.0
-124.0,38.0,-247.0
-125.0,38.0,-210.0
-126.0,38.0,-176.0
-129.0,41.0,-145.0
-130.0,41.0,-110.0
-131.0,42.0,-79.0
-133.0,43.0,-40.0
-135.0,44.0,-3.0
-137.0,44.0,31.0
-138.0,44.0,55.0
-139.0,44.0,66.0
-139.0,44.0,62.0
-138.0,44.0,56.0
-139.0,44.0,49.0
-138.0,44.0,43.0
-138.0,44.0,38.0
-138.0,44.0,32.0
-137.0,45.0,27.0
-137.0,46.0,22.0
-137.0,46.0,17.0
-136.0,46.0,13.0
-136.0,45.0,9.0
-137.0,46.0,5.0
-137.0,46.0,11.0
-138.0,46.0,21.0
-139.0,46.0,35.0
-140.0,46.0,53.0
-140.0,46.0,69.0
-141.0,46.0,90.0
-142.0,46.0,110.0
-142.0,47.0,126.0
-144.0,46.0,144.0
-145.0,46.0,162.0
-146.0,47.0,179.0
-146.0,48.0,193.0
-147.0,48.0,207.0
-148.0,47.0,231.0
-149.0,49.0,247.0
-149.0,49.0,252.0
-149.0,50.0,255.0
-150.0,50.0,266.0
-150.0,51.0,275.0
-151.0,50.0,292.0
-152.0,51.0,310.0
-152.0,52.0,322.0
-152.0,53.0,337.0
-153.0,52.0,365.0
-153.0,52.0,388.0
-153.0,51.0,398.0
-153.0,52.0,409.0
-153.0,52.0,416.0
-154.0,51.0,436.0
-155.0,49.0,444.0
-154.0,50.0,456.0
-155.0,51.0,459.0
-155.0,52.0,465.0
-155.0,53.0,472.0
-156.0,53.0,472.0
-156.0,53.0,476.0
-156.0,52.0,482.0
-156.0,54.0,493.0
-156.0,55.0,506.0
-156.0,54.0,505.0
-156.0,55.0,511.0
-156.0,55.0,515.0
-156.0,56.0,501.0
-156.0,59.0,519.0
-157.0,60.0,551.0
-157.0,62.0,567.0
-158.0,61.0,571.0
-160.0,60.0,589.0
-162.0,61.0,630.0
-162.0,60.0,626.0
-162.0,61.0,629.0
-162.0,61.0,619.0
-163.0,61.0,635.0
-163.0,60.0,629.0
-163.0,60.0,626.0
-163.0,59.0,631.0
-163.0,59.0,631.0
-163.0,59.0,637.0
-163.0,59.0,646.0
-163.0,58.0,647.0
-162.0,57.0,630.0
-161.0,56.0,610.0
-160.0,55.0,600.0
-160.0,54.0,577.0
-159.0,53.0,566.0
-158.0,53.0,554.0
-158.0,52.0,539.0
-158.0,51.0,519.0
-157.0,50.0,508.0
-156.0,50.0,483.0
-154.0,46.0,458.0
-153.0,45.0,427.0
-151.0,45.0,373.0
-149.0,47.0,288.0
-144.0,47.0,190.0
-138.0,45.0,31.0
-132.0,44.0,-119.0
-127.0,43.0,-276.0
-120.0,42.0,-430.0
-114.0,42.0,-603.0
-110.0,38.0,-714.0
-106.0,36.0,-813.0
-101.0,36.0,-928.0
-96.0,36.0,-1050.0
-92.0,36.0,-1142.0
-88.0,35.0,-1240.0
-85.0,34.0,-1299.0
-82.0,33.0,-1361.0
-80.0,32.0,-1425.0
-76.0,31.0,-1497.0
-73.0,28.0,-1582.0
-70.0,25.0,-1646.0
-68.0,24.0,-1673.0
-66.0,25.0,-1705.0
-64.0,25.0,-1745.0
-61.0,25.0,-1804.0
-60.0,27.0,-1846.0
-61.0,27.0,-1827.0
-65.0,28.0,-1712.0
-74.0,29.0,-1519.0
-87.0,35.0,-1227.0
-107.0,39.0,-780.0
-127.0,40.0,-303.0
-149.0,40.0,183.0
-168.0,47.0,622.0
-182.0,52.0,973.0
-194.0,59.0,1190.0
-197.0,61.0,1268.0
-195.0,60.0,1218.0
-191.0,56.0,1161.0
-187.0,55.0,1069.0
-175.0,54.0,789.0
-157.0,52.0,382.0
-138.0,49.0,-82.0
-121.0,45.0,-469.0
-104.0,41.0,-877.0
-91.0,39.0,-1202.0
-82.0,38.0,-1392.0
-77.0,38.0,-1528.0
-73.0,36.0,-1622.0
-71.0,33.0,-1645.0
-73.0,32.0,-1585.0
-77.0,33.0,-1470.0
-87.0,39.0,-1270.0
-101.0,42.0,-953.0
-120.0,46.0,-545.0
-141.0,54.0,-54.0
-160.0,63.0,367.0
-177.0,63.0,730.0
-189.0,67.0,1004.0
-199.0,65.0,1230.0
-201.0,66.0,1293.0
-198.0,61.0,1250.0
-191.0,58.0,1113.0
-175.0,52.0,717.0
-158.0,51.0,330.0
-141.0,47.0,-115.0
-128.0,46.0,-421.0
-114.0,42.0,-705.0
-103.0,41.0,-961.0
-94.0,39.0,-1157.0
-90.0,41.0,-1244.0
-94.0,48.0,-1179.0
-103.0,50.0,-976.0
-116.0,51.0,-685.0
-130.0,59.0,-369.0
-143.0,55.0,-61.0
-159.0,61.0,306.0
-175.0,63.0,614.0
-184.0,64.0,841.0
-191.0,68.0,1031.0
-190.0,68.0,1031.0
-185.0,65.0,918.0
-176.0,69.0,695.0
-166.0,67.0,537.0
-152.0,70.0,222.0
-146.0,67.0,118.0
-148.0,65.0,148.0
-148.0,64.0,138.0
-147.0,63.0,129.0
-146.0,62.0,120.0
-146.0,62.0,111.0
-146.0,61.0,102.0
-145.0,60.0,95.0
-145.0,60.0,87.0
-144.0,59.0,79.0
-144.0,59.0,73.0
-143.0,58.0,66.0
-142.0,57.0,59.0
-142.0,57.0,53.0
-142.0,57.0,46.0
-141.0,56.0,40.0
-141.0,56.0,35.0
-141.0,55.0,30.0
-141.0,55.0,25.0
-141.0,55.0,20.0
-141.0,54.0,16.0
-140.0,54.0,11.0
-140.0,53.0,7.0
-139.0,52.0,3.0
-139.0,52.0,0.0
-138.0,52.0,-4.0
-138.0,52.0,-8.0
-137.0,52.0,-12.0
-137.0,50.0,-15.0
-138.0,50.0,-18.0
-138.0,50.0,-20.0
-138.0,50.0,-23.0
-137.0,50.0,-26.0
-137.0,50.0,-29.0
-136.0,50.0,-31.0
-137.0,49.0,-34.0
-136.0,49.0,-35.0
-136.0,49.0,-38.0
-136.0,48.0,-39.0
-136.0,48.0,-41.0
-136.0,48.0,-43.0
-136.0,48.0,-44.0
-136.0,48.0,-46.0
-135.0,47.0,-48.0
-135.0,47.0,-49.0
-135.0,47.0,-51.0
-135.0,47.0,-53.0
-135.0,46.0,-54.0
-135.0,46.0,-55.0
-135.0,46.0,-57.0
-135.0,46.0,-58.0
-135.0,46.0,-59.0
-134.0,47.0,-61.0
-135.0,47.0,-61.0
-135.0,46.0,-63.0
-135.0,46.0,-64.0
-135.0,46.0,-65.0
-135.0,46.0,-67.0
-135.0,45.0,-67.0
-135.0,45.0,-68.0
-135.0,45.0,-69.0
-135.0,45.0,-69.0
-135.0,45.0,-71.0
-135.0,46.0,-70.0
-135.0,45.0,-71.0
-135.0,45.0,-71.0
-135.0,45.0,-70.0
-135.0,45.0,-71.0
-134.0,45.0,-72.0
-134.0,45.0,-72.0
-134.0,45.0,-71.0
-134.0,46.0,-73.0
-133.0,46.0,-72.0
-133.0,45.0,-72.0
-133.0,46.0,-73.0
-134.0,45.0,-74.0
-134.0,45.0,-73.0
-134.0,45.0,-74.0
-134.0,44.0,-75.0
-134.0,44.0,-74.0
-134.0,44.0,-74.0
-134.0,45.0,-74.0
-133.0,45.0,-75.0
-133.0,45.0,-74.0
-132.0,45.0,-76.0
-132.0,45.0,-79.0
-132.0,46.0,-77.0
-132.0,45.0,-77.0
-132.0,47.0,-78.0
-132.0,47.0,-78.0
-133.0,47.0,-79.0
-133.0,46.0,-79.0
-132.0,46.0,-78.0
-132.0,46.0,-79.0
-133.0,47.0,-79.0
-132.0,47.0,-79.0
-132.0,47.0,-79.0
-133.0,47.0,-80.0
-133.0,46.0,-79.0
-133.0,45.0,-79.0
-133.0,46.0,-80.0
-133.0,46.0,-80.0
-132.0,45.0,-80.0
-133.0,45.0,-81.0
-132.0,45.0,-81.0
-133.0,46.0,-81.0
-133.0,45.0,-82.0
-140.0,52.0,4.0
-140.0,51.0,0.0
-140.0,51.0,-3.0
-139.0,50.0,-6.0
-139.0,50.0,-9.0
-138.0,50.0,-12.0
-138.0,49.0,-16.0
-137.0,50.0,-18.0
-137.0,50.0,-21.0
-137.0,50.0,-24.0
-137.0,50.0,-26.0
-137.0,50.0,-29.0
-136.0,51.0,-34.0
-138.0,52.0,-34.0
-158.0,30.0,1.0
-180.0,169.0,5.0
-70.0,161.0,49.0
141.0,195.0,134.0
464.0,244.0,228.0
842.0,279.0,332.0
1196.0,301.0,391.0
1493.0,295.0,435.0
1739.0,279.0,457.0
1975.0,307.0,430.0
2203.0,322.0,414.0
2382.0,316.0,409.0
2489.0,317.0,383.0
2489.0,338.0,343.0
2449.0,369.0,302.0
2427.0,364.0,290.0
2364.0,375.0,269.0
2356.0,359.0,263.0
2274.0,356.0,247.0
2054.0,330.0,231.0
1636.0,271.0,205.0
1090.0,236.0,184.0
498.0,181.0,140.0
-18.0,123.0,100.0
-433.0,88.0,141.0
-899.0,142.0,160.0
-1342.0,108.0,252.0
-1790.0,12.0,372.0
-2370.0,-216.0,460.0
-2990.0,-171.0,399.0
-3349.0,-46.0,336.0
-3619.0,41.0,216.0
-3716.0,77.0,174.0
-3704.0,98.0,169.0
-3632.0,119.0,192.0
-3504.0,95.0,175.0
-3199.0,35.0,167.0
-2572.0,-115.0,178.0
-1699.0,-323.0,237.0
-846.0,-348.0,247.0
282.0,-153.0,248.0
1697.0,-195.0,307.0
2834.0,-421.0,261.0
3496.0,-600.0,206.0
3506.0,-672.0,233.0
2889.0,-665.0,378.0
1682.0,-640.0,608.0
175.0,-700.0,874.0
-1265.0,-647.0,1003.0
-2642.0,-175.0,973.0
-3206.0,-3.0,695.0
-2702.0,-132.0,693.0
-1957.0,-212.0,797.0
-467.0,-178.0,986.0
985.0,-91.0,1488.0
2375.0,-444.0,1704.0
3156.0,-758.0,1582.0
2936.0,-865.0,1484.0
1916.0,-769.0,1497.0
400.0,-749.0,1715.0
-1050.0,-524.0,1783.0
-2437.0,-40.0,1711.0
-3003.0,224.0,1555.0
-2857.0,209.0,1411.0
-2403.0,180.0,1314.0
-1352.0,36.0,1400.0
139.0,275.0,1592.0
1566.0,181.0,1829.0
2424.0,52.0,1778.0
2754.0,-1.0,1632.0
2529.0,-28.0,1638.0
1734.0,52.0,1520.0
1500.0,-41.0,1455.0
2500.0,-58.0,1390.0
3349.0,-144.0,1332.0
2937.0,-190.0,1315.0
1376.0,-176.0,1492.0
113.0,-247.0,1657.0
-407.0,-217.0,1774.0
375.0,0.0,1575.0
1792.0,-88.0,1391.0
2934.0,-213.0,1270.0
2359.0,-195.0,1109.0
823.0,-270.0,1323.0
-645.0,-8.0,1563.0
-1106.0,-8.0,1741.0
